Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides
75 or over,Bronchospasm Prevention with COPD,2011-03-25,"spiriva capsule, with inhalation device",89062,5,2,Severe knee pains after a week;  started after three days.,1,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2011-02-27,"spiriva capsule, with inhalation device",89062,5,5, ,5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
75 or over,Bronchospasm Prevention with COPD,2011-01-25,"spiriva capsule, with inhalation device",89062,4,4,"I was happy to hear that someone else besides me is tired of paying $240.00 per month for thirty capsules and getting only 27 or 28.  Someone should be held responsible for the disparity.  If the treatment were not good I would not use it but, it works for me... ",3,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2011-01-20,"spiriva capsule, with inhalation device",89062,5,5,"Spiriva works really well for me with the exception of the empty capsules. Many of the capsules in each box I receive are empty, and as much as this medication costs this should be the exception, not the rule. I do appreciate what it does for me, however I don't appreciate only getting a portion of my medication.",5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2011-01-04,"spiriva capsule, with inhalation device",89062,5,5,I Have Been a COPD Sufferer For The Last 6 Years.  I see where others have posted that Spiriva did not help them.  Spiriva does not act overnite.  I Would Say Give It About 3-6 Months For 100% relief.  It Has Helped Me & Probably Saved My Airways From Closing.  I Do hope Everyone Give It A Reasonable Time Length To Be effective.,5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2010-11-13,"spiriva capsule, with inhalation device",89062,5,1, ,1,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchi Muscle Spasm resulting from COPD,2010-10-07,"spiriva capsule, with inhalation device",89062,5,5,"I have been so pleased with this medicine, i had tried every medicine on the market, but this one worked for me.
P.s. It does not have any steroids in the medication. I also have osteoporosis and have had to remove all steroids from my medicines, to counteract bone density loss, from previous steroid use in other bronchitis medicines .",5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2010-09-14,"spiriva capsule, with inhalation device",89062,5,4,"my arthritis seems to be getting worse,hand and joint pain is constant since  starting this med",4,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2010-09-02,"spiriva capsule, with inhalation device",89062,4,1,I have used for a period of 2 years on and off. No change at all. Hoping it would eventully work - But NO. ,1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2010-07-08,"spiriva capsule, with inhalation device",89062,1,1,after about a year on it i got severe bladder discomfort and non emptying problem.had been seen by my doctor and he said urine test was perfect.  quit taking because i didn't notice any difference in my breathing and could not afford the high price.  within a week my bladder became normal.  net is full of stories like mine. i am changing doctors as he should have been aware of this side effect.,1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchi Muscle Spasm resulting from COPD,2010-05-28,"spiriva capsule, with inhalation device",89062,4,4,"I have 40% lung function,copd.spiriva works ok,breathing through,using saline spray,Breathing through the nose only,Use yoga ,how to breathe correctly,google it,it does work. chest spasms have eased.",3,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
75 or over,Bronchi Muscle Spasm resulting from COPD,2010-05-04,"spiriva capsule, with inhalation device",89062,3,3,My mouth is dry,2,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
25-34,Bronchi Muscle Spasm resulting from COPD,2010-03-12,"spiriva capsule, with inhalation device",89062,4,4,I have only been taking this medicine for less then a week. I just found out recetly that I have copd and i'm only 30. ,3,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchi Muscle Spasm resulting from COPD,2010-02-22,"spiriva capsule, with inhalation device",89062,4,4,"I have COPD doc gave me many other meds, Advair for one. But this drug seems to work the best with air hungry ect. However, i have noticed an increase in indegestion / heart burn. and been also having a lot of lower cramps/ with a fullness feeling. Dont know if this drug or not.",3,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2010-01-25,"spiriva capsule, with inhalation device",89062,2,3,"have used abt 6 weeks...for the last full week have been experiencing severe stomach cramps, burning sensations, bloated, difficulty breathing because of this.  also, stomach pain encircles body to include back pain...never had any of this before spiriva...WILL STOP",1,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2010-01-12,"spiriva capsule, with inhalation device",89062,4,4,I have  been able to resume normal activity after taking this drug.  I think it's great and wish I had been diagnosed and treated sooner.  ,4,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2010-01-11,"spiriva capsule, with inhalation device",89062,5,2,this does not seem  to help,2, ,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2010-01-07,"spiriva capsule, with inhalation device",89062,5,4,"WOW....90% mucus has gone...Itake it with Flovent.Its nice to be able to breathe and not sound like ""Darth Vader""(star wars)...
I also would like to see a Clear capsule used..  So far so good....3 months!!",5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2010-01-03,"spiriva capsule, with inhalation device",89062,4,1,pricey @ 200.00 a month saw no results made my prostate sore after stopping ? alot of $$$$ for so little med ,1,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-12-22,"spiriva capsule, with inhalation device",89062,4,3,"I have been on Spiriva for about a month now and find it somewhat effective in helping me breathe normally without oxygen.

I still find it difficult to breathe most of the time with Spiriva and find myself needing oxygen, especially after any excertion.  

Recommend to anyone using Spiriva to keep their and wonder of Spiriva is ",3,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2009-12-14,"spiriva capsule, with inhalation device",89062,3,5,"It is and has been very difficult to breathe. The spiriva along with Q-Var & rescue inhalor changed my life, I could breathe. But because of cost of other meds, the spiriva was put on hold. Brand only med.",4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
75 or over,Bronchospasm Prevention with COPD,2009-12-09,"spiriva capsule, with inhalation device",89062,5,5,Have been on this med since early 2007....Been very satisfied 'till about month ago...Breathing much harder all the time and having to use oxygen more.  Seeing doctor next week---may change meds....,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-12-01,"spiriva capsule, with inhalation device",89062,5,4,I have been on Spiriva for about 5 months now and found it helped my breathing alot. I was on Advar before for a short time so I knew to rinse my mouth after use. I do have dry mouth and it takes longer to urinate. But about a month ago I started with a rash on my lower scalp between my ears. I don't know if this is related? Has anyone else had this?,4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2009-11-24,"spiriva capsule, with inhalation device",89062,5,4,"I have only been using Spirva for about 2 weeks, but have already noticed improvement. I can actually get a deep satisfying breath, which I could not before. So far no side effects.",4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-11-02,"spiriva capsule, with inhalation device",89062,4,1,swelling of face /neck throat infection ,1,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2009-10-19,"spiriva capsule, with inhalation device",89062,5,4,"i've used spiriva for a few yrs. now and had good results.last year head aches,eye pain w/itching, and blured vision started. my vision is getting worse so i'm taking myself off to see if problems stop.",3,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2009-09-28,"spiriva capsule, with inhalation device",89062,5,5,"I have COPD, emphysema, and have been on
spiriva for one year. It has greatly helped
with my breathing and only side effect is
slight head ache sometimes. Very good drug.",5, ,"Dry mouth ,  constipation , or  dizziness  may occur."
 ,Bronchospasm Prevention with COPD,2009-09-27,"spiriva capsule, with inhalation device",89062,5,5,"I 59 and smoked 42 years; diagnosed with COPD two years ago, confirmed by lung specialist 4 months ago, started Spiriva 3 months ago.

I am able to breathe much better, and much more deeply and effectively. I cycle 80-100 miles a week.  Hills that were a major effort before Spiriva are nowhere nearly as daunting. My overall energy level is much increased.

I have had no side effects other than slight hoarseness.

I highly recommend that COPD patients try the drug to see if it works for them.",5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-09-13,"spiriva capsule, with inhalation device",89062,4,2,"Diagnosed with Mod. COPD. Been on this med. for 5 days, no improvement. The only thing it has given me are heart palpitations.  I'm on Symbicort as well. I love riding my bike (10+ miles per day), but the COPD restricts that now. Spiriva/Symbicort combo is worthless.  I have more mucous and chest tightness now than before I started these meds. I'm an ex-smoker (2 1/2 packs - 31 years); quit 12 years ago. Doc says I've probably had COPD for many years, the symptoms are just now surfacing.  Chest x-ray clear, lungs clear. Spiro test revealed that I have 62% lung function. I have bad allergies and am wondering if that's not most of the problem.  I'm going for a 2nd opinion.",1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-08-24,"spiriva capsule, with inhalation device",89062,5,4,"I have been using Spiriva since 2007. Since that time even though I am on other medications I have noted the facts that constipation, blurry vision, some headaches accur with using this medication. But if my doctor still wants me to use it I will, but some of the side effects cause me distress, even though this medication really helps me every day, and I was diagnosed at 53 years old.",3, ,"Dry mouth ,  constipation , or  dizziness  may occur."
75 or over,Bronchospasm Prevention with COPD,2009-08-23,"spiriva capsule, with inhalation device",89062,5,5,"Overall this medication has worked very well for me, and it is easy to use. ",5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2009-08-05,"spiriva capsule, with inhalation device",89062,3,4,"I have been on this almost 2 years and it really improves my shortness of breath but the side effects are dry mouth, rapid heart rate and severe constipation Im going to talk to my Pulmonologist about making a change",3,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2009-08-05,"spiriva capsule, with inhalation device",89062,5,4,i didn't think it was doing anything till i stopped taking it.  i felt the difference within 24 hours without it,4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2009-08-01,"spiriva capsule, with inhalation device",89062,5,2,"Not really sure have COPD, definitely have emphezema/brochitis.  Started spiriva 2 wks ago, not sure it's working...chest discomfort, urinary somewhat abnormal,  definitely dry mouth, but had that before taking spiriva.  Tried Advair 3 yrs ago, very similar results.  Think I'll talk to Doc again.  Used atrovent in the past, Doc said it's outdated, but I think I want to try it again.  ",1,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-07-18,"spiriva capsule, with inhalation device",89062,1,1,"Have just started taking,but I quit. Have insomnia,constipation,rapid heartbeat,dry mouth,numbing in feet,headaches,and bouts of crying,also blurred vision.All this in 8 days. The only good was my wheezing improved,that isn't worth all the negatives.",1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
35-44,Bronchospasm Prevention with COPD,2009-07-01,"spiriva capsule, with inhalation device",89062,5,4, ,4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-06-16,"spiriva capsule, with inhalation device",89062,4,3,since starting Sprivia I've experienced urinary tract infections with bleeding...itching...and now I have cysts in my left ovary.  ovarian cysts were mentioned as a possible side effect with Advair.....is this possible with Spirvia also?,1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2009-06-07,"spiriva capsule, with inhalation device",89062,4,2,"I have experienced sleeplessness, muscle spasms and involuntary tics in my feet, ankles and neck, and the constipation and trouble urinating that others mention.
I'm not sure this is a good drug.",1,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-06-05,"spiriva capsule, with inhalation device",89062,5,5,ive been on this drug for two years but some times it hard to pee but i can live with that,5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
75 or over,Bronchospasm Prevention with COPD,2009-06-04,"spiriva capsule, with inhalation device",89062,4,3, ,3,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-05-23,"spiriva capsule, with inhalation device",89062,5,3,I have been taking Spiriva for about 2 years. Recently I have had problems with constipation and passing urine. I stopped taking it 3 days ago and my bowel movements and Urinating are back to almost normal,2,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2009-05-09,"spiriva capsule, with inhalation device",89062,5,4,"I have swelling of the feet and ankles and it is moving all the way up to my groin.  i have put on 12 to 15 lbs in water retention.   Stopped taking it 36 hrs ago,  how long before my swelling goes down.",1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
75 or over,Bronchospasm Prevention with COPD,2009-04-26,"spiriva capsule, with inhalation device",89062,5,4,constipition,5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2009-04-20,"spiriva capsule, with inhalation device",89062,5,5, ,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2009-04-20,"spiriva capsule, with inhalation device",89062,5,5,I never smoked and have 60% lung capacity. I always walk 2-3 miles daily since on Spiriva and 10 mg Prednisone. I tried all the other stuff which did not work. No side effects for me. I never use my rescue inhalers or nebulizers anymore. Spiriva is worth using.,5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-04-15,"spiriva capsule, with inhalation device",89062,5,3, ,3,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
75 or over,Bronchospasm Prevention with COPD,2009-03-29,"spiriva capsule, with inhalation device",89062,1,2, ,1, ,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-03-23,"spiriva capsule, with inhalation device",89062,4,3,causes severe hoarsness,3,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2009-03-16,"spiriva capsule, with inhalation device",89062,5,4,I have been taking Spiriva for more than a year now. It completely cleared up the mucus but I am having numerous bladder infections that I feel are due to this drug. Also trouble passing urine output not as much while on this drug.,4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2009-03-14,"spiriva capsule, with inhalation device",89062,4,4,"I could not take Advair @all,made me very hoarse. This spiriva does not. I think it helps, for me.",4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-03-04,"spiriva capsule, with inhalation device",89062,4,2,"I used Spiriva for 2 months along with Advair 250/50. I had bad sore throat, nosebleeds,insomnia and coughing. My voice became very hoarse. Had bad headaches. I finally quit. My lungs did feel clearer though. I am a high risk for stroke so wasn't happy about the stroke risks. ",1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
 ,Bronchospasm Prevention with COPD,2009-02-26,"spiriva capsule, with inhalation device",89062,5,3,Using Spiriva and Advair 500.  Both are too expensive.  Will meet my gap on medicare in 7 months.  Wonder how much I am paying for the advertising for these 2 drugs.  Should be a law against advertising prescription drugs.  I need to quit one of them.  Believe the Spiriva is causing urine retention in bladder.  Causes bladder infections.  Even with both drugs still have to use albuterol.  Not sure what I should do.  No alternatives.,3, ,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2009-02-20,"spiriva capsule, with inhalation device",89062,4,3, ,3,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-02-16,"spiriva capsule, with inhalation device",89062,4,4,This drug is bemeficial-but very expensive with no generic available in U.S. I now order thru Canada site. ,4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2009-02-08,"spiriva capsule, with inhalation device",89062,4,3,"my dr. prescribed this drug along with advair but i am experiencing a loss of taste and smell and was wondering if anyone was having the same problem,my dr. said she has never had that complaint.",3,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-01-19,"spiriva capsule, with inhalation device",89062,5,5,"I have been in treatment for COPD, emphysema for 8 years I was housebound before using it, this drug gave me my life back.",5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2009-01-15,"spiriva capsule, with inhalation device",89062,5,5,Can't wait till they have a generic for this drug. Treating COPD and emphezma,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2009-01-11,"spiriva capsule, with inhalation device",89062,5,3,I really don't see any difference in this med of taking or not taking it,2,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2009-01-04,"spiriva capsule, with inhalation device",89062,4,3,It seems to help breathing some what!,3,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2009-01-03,"spiriva capsule, with inhalation device",89062,5,5,"Have COPD, started breathing better after a couple of days of starting.  Breathing much easier.",5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
75 or over,Bronchospasm Prevention with COPD,2008-12-13,"spiriva capsule, with inhalation device",89062,5,5,I am concerned about the Journal of American Medical Association letter regarding the possibility of stroke for Spiriva users,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2008-12-12,"spiriva capsule, with inhalation device",89062,5,2,"I take this with my advair. Some days are okay, other days I can not breath. Cannot sleep weight gain.",1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2008-12-11,"spiriva capsule, with inhalation device",89062,5,5,"This drugs is like a miracle for COPD but the side effects I experienced - anxiety, insomnia, depression, weight gain - have been so severe I've had to stop using it.",1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
35-44,Bronchospasm Prevention with COPD,2008-11-21,"spiriva capsule, with inhalation device",89062,3,5, ,4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2008-11-05,"spiriva capsule, with inhalation device",89062,5,4,I ONLY TAKE IT 2X ADAY,5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2008-11-01,"spiriva capsule, with inhalation device",89062,5,1,"is not relieving constant spitting up of 
accumulation. I keep producing.",1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2008-10-25,"spiriva capsule, with inhalation device",89062,5,5,"Effective and performs well in maintenance for COPD.
However, the price gave cause to steer from it's use.
",5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2008-10-24,"spiriva capsule, with inhalation device",89062,4,4,"My GP switched me to Spiriva from an inhaled steroid, this seems more effective and easier for my breathing difficulty. Initially experienced dry mouth and throat, this has receded. However: ""Store this medication at 77 degrees F (25 degrees C). Brief storage between 59 and 86 degrees F (15 and 30 degrees C) is permitted."" News Flash! I live in the northeast, heat with oil, and keep my thermostat at 60 degrees. If I really need to keep this medication at 77, that's a huge hidden cost.",4,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
35-44,Bronchospasm Prevention with COPD,2008-10-22,"spiriva capsule, with inhalation device",89062,5,4, ,3,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2008-10-04,"spiriva capsule, with inhalation device",89062,5,3,helped relieve shortness of breath,4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2008-08-13,"spiriva capsule, with inhalation device",89062,5,4,"I've been thinking everything was fine.  The drug appears to work quite well.  Today, though, I went to my eye doctor and he told me I am beginning to experience signs of macular degeneration.  I am only 55.  I have been on Spiriva for one year and nine months and it has been almost exactly two years since my last eye appt.  I had noticed problems with my eyesight and I had read that one could experience changes in vision with this drug.  Has anyone else out there had any such diagnoses?",4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2008-08-04,"spiriva capsule, with inhalation device",89062,5,4, ,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2008-07-15,"spiriva capsule, with inhalation device",89062,4,5,"My allergist/asthma Doc prescribed Advair and I had a number of side effects including pneumonia about two months after starting it.  I was referred to a pulmunologist who immediately changed me to Spiriva.  

No problems with the Spiriva except maybe a little dry mouth.  I have not been rinsing after taking Spiriva.  I've been glad to get off the steroid in the Advair.  

Agree with the comments that the capsule should be clear to verify that there is content and that all is used.",5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2008-07-02,"spiriva capsule, with inhalation device",89062,5,5, ,5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2008-06-29,"spiriva capsule, with inhalation device",89062,5,5,I had been on ADVAIR for approx. 2 years and was having a hard time dealing with the steroid in it cause thrush .. I have been on SPIRIVA for 4 months and my breathing is much better .. I am able to do more without the worries of lossing my breath ...,5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
 ,Bronchospasm Prevention with COPD,2008-06-27,"spiriva capsule, with inhalation device",89062,3,3,does not seen to help with breathing difficulties,2,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2008-05-18,"spiriva capsule, with inhalation device",89062,5,4,most times I feel breathing is much easier since starting spiriva,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
75 or over,Bronchospasm Prevention with COPD,2008-04-30,"spiriva capsule, with inhalation device",89062,3,3, ,3,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2008-03-20,"spiriva capsule, with inhalation device",89062,2,2,"Increased risk of a Stroke using Spiriva.

The FDA released a statement on 3/18/08 that 

Tiotropium (marketed as Spiriva HandiHaler)
    Audience: Pulmonary care health professionals and patients
    [Posted 03/18/2008] Boehringer Ingelheim and FDA notified healthcare professionals that ongoing safety monitoring has identified a possible increased risk of stroke in patients who take Spiriva.  I suggest that you contact your Physician immediately as I am doing.

This is the FDA webpage that discusses this problem.  

http://www.fda.gov/medwatch/safety/2008/safety08.htm#Tiotropium",1,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2008-03-11,"spiriva capsule, with inhalation device",89062,1,1,"It has worked very well for me with my breathing problems, but I need to know, does it contain any steroids, because it seems my weight is going up and I am in a fitness class, I do not abuse food, but can't figure out why the weight gain.",1,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2008-02-07,"spiriva capsule, with inhalation device",89062,5,4,Has been a great relief for me.,5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2008-01-31,"spiriva capsule, with inhalation device",89062,5,5,"Great reults, breathing better!",5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2008-01-21,"spiriva capsule, with inhalation device",89062,4,4,"HAS HELPED ME BREATHE MUCH BETTER AND HAVE NO SIDE EFFECTS SO FAR, CANNOT TAKE ADVAIR OR SYMBICORT THEY CAUSE SEVERE STOMACH UPSET AND PAIN, DIZZINESS MUCH MORE WHEEZING AND MORE TROUBLE BREATHING. I THINK THEY SHOULD MAKE A CLEAR CAPSULE, I INHALE MINE AND WAIT ONE MINUTE THEN INHALE AGAIN DON'T KNOW IF IT HELPS.",4,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2007-12-05,"spiriva capsule, with inhalation device",89062,5,5,Been using it for 2 years. NO side effects. Insurance will no longer pay for it & I have to switch to Advair. Unhappy about this.,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2007-12-03,"spiriva capsule, with inhalation device",89062,5,4, ,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2007-11-26,"spiriva capsule, with inhalation device",89062,5,5,"Spiriva changed my life.  Before S, I would awaken in the middle of the nights with a lot of mucus and coughing even though my Doc had tried other meds.  I would be up for about an hour getting to the point where I thought it was worth trying  to get back to sleep.",5,Male,"Dry mouth ,  constipation , or  dizziness  may occur."
 ,Bronchospasm Prevention with COPD,2007-11-17,"spiriva capsule, with inhalation device",89062,3,4,none,4, ,"Dry mouth ,  constipation , or  dizziness  may occur."
55-64,Bronchospasm Prevention with COPD,2007-10-26,"spiriva capsule, with inhalation device",89062,5,5,good,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2007-10-21,"spiriva capsule, with inhalation device",89062,5,5, ,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2007-10-21,"spiriva capsule, with inhalation device",89062,5,5,I just started this drug after using the other drug ADVAIR for two years and this seems to be much better than the Advair! Hopefully I can remain  on this and using only once a day instead of twice is more convenient also!!!,5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
45-54,Bronchospasm Prevention with COPD,2007-09-27,"spiriva capsule, with inhalation device",89062,5,5,"It's MUCH more convenient than taking Atrovent multiple times/day & I've been taking it daily since shortly after FDA approval in 2004.
Very effective, long-lasting med which is helpful for COPD patients especially.  Side effects are pretty mild (at least for me).  It may be causing slightly elevated resting heart rate, but otherwise haven't noticed side effects as long as I take it in the morning (believe it might keep me awake if I took it in the evening instead).
Have suggested they make the capsule fully or partly clear so patients can see the powder in the capsule before they take their med & no powder after they've taken their med.  BI (manufacturer) says they'll consider the suggestion, which has been implemented in some other countries.
",5,Female,"Dry mouth ,  constipation , or  dizziness  may occur."
65-74,Bronchospasm Prevention with COPD,2014-05-02,"serevent diskus blister, with inhalation device",5330,5,3, ,3,Female,"Hoarseness, throat irritation,  headache , rapid heartbeat, nervousness,  cough ,  dry mouth /throat, or  upset stomach  may occur."
55-64,Bronchospasm Prevention with COPD,2019-11-25,"trelegy ellipta blister, with inhalation device",174197,5,5,I just started Trelegy 2 weeks ago.  So far there has been a dramatic improvement of my breathing and oxygen levels. I am shocked I have not needed my rescue inhaler at all during this time period.,5,Female,"Dry/irritated throat, hoarseness, or  coughing  may occur as your body adjusts to the  medication . If any of these effects last or get worse, tell your doctor or  pharmacist  promptly."
55-64,Bronchospasm Prevention with COPD,2019-10-03,"trelegy ellipta blister, with inhalation device",174197,5,5,"recently started taking Trelegy after failed attempts with other medicines,many others. I know this medicine is not supposed to work quickly but it seems to open my airway up within 15-30 minutes.I am keeping a diary of how I am feeling and reacting to TRELEGY ELIPTA,I will post further comments after more use and effects from it,good or bad,but so far alls great.",4, ,"Dry/irritated throat, hoarseness, or  coughing  may occur as your body adjusts to the  medication . If any of these effects last or get worse, tell your doctor or  pharmacist  promptly."
65-74,Bronchospasm Prevention with COPD,2019-09-02,"trelegy ellipta blister, with inhalation device",174197,5,5,I havenÃƒÂ¢Ã‚?Ã‚?t been using Trelegy for even a week and have found it wonderful!  I had been using Spireva for about 2 years with little relief of my COPD. I had resigned myself to being able to do less and less with each passing day. Now I can climb a flight of stairs without needing to sit down immediately. I walked the mall!  I hope this continues so I can stop being breathless and exhausted all the time. ,5, ,"Dry/irritated throat, hoarseness, or  coughing  may occur as your body adjusts to the  medication . If any of these effects last or get worse, tell your doctor or  pharmacist  promptly."
